iter	Passed	Remaining
0	58	56845
1	104	50283
2	153	49285
3	202	48723
4	250	48093
5	297	47613
6	345	47311
7	391	46885
8	441	46893
9	494	47195
10	542	47062
11	592	47073
12	638	46735
13	684	46516
14	727	46104
15	773	45890
16	819	45689
17	859	45208
18	903	44984
19	949	44870
20	992	44601
21	1033	44307
22	1075	44055
23	1121	43971
24	1166	43868
25	1211	43737
26	1257	43693
27	1303	43611
28	1351	43634
29	1397	43570
30	1443	43485
31	1488	43392
32	1536	43405
33	1579	43251
34	1625	43182
35	1668	43064
36	1713	42969
37	1758	42893
38	1807	42918
39	1855	42917
40	1909	43032
41	1967	43244
42	2020	43322
43	2074	43419
44	2125	43452
45	2181	43580
46	2234	43637
47	2287	43706
48	2342	43782
49	2394	43824
50	2449	43890
51	2508	44036
52	2558	44024
53	2610	44039
54	2658	43983
55	2707	43950
56	2754	43885
57	2803	43837
58	2856	43862
59	2906	43841
60	2951	43735
61	2998	43676
62	3046	43619
63	3092	43538
64	3143	43522
65	3189	43448
66	3237	43387
67	3282	43301
68	3325	43186
69	3368	43071
70	3415	43002
71	3458	42894
72	3501	42788
73	3548	42729
74	3593	42648
75	3641	42600
76	3686	42517
77	3733	42459
78	3780	42403
79	3827	42340
80	3872	42267
81	3915	42164
82	3961	42092
83	4006	42025
84	4055	41981
85	4097	41876
86	4144	41824
87	4189	41756
88	4234	41674
89	4284	41650
90	4331	41601
91	4382	41585
92	4432	41559
93	4482	41537
94	4529	41478
95	4582	41481
96	4633	41466
97	4707	41646
98	4777	41788
99	4830	41783
100	4879	41737
101	4931	41724
102	4979	41670
103	5026	41615
104	5071	41537
105	5114	41448
106	5158	41366
107	5200	41263
108	5243	41180
109	5288	41105
110	5334	41039
111	5380	40975
112	5422	40886
113	5466	40804
114	5509	40724
115	5551	40632
116	5596	40565
117	5646	40528
118	5693	40474
119	5744	40450
120	5796	40430
121	5841	40366
122	5892	40339
123	5946	40331
124	5997	40301
125	6043	40242
126	6095	40219
127	6142	40168
128	6194	40147
129	6247	40131
130	6300	40110
131	6351	40081
132	6404	40062
133	6458	40050
134	6512	40038
135	6568	40040
136	6627	40052
137	6689	40090
138	6749	40107
139	6803	40094
140	6859	40086
141	6914	40075
142	6967	40048
143	7018	40014
144	7064	39949
145	7111	39895
146	7158	39832
147	7203	39767
148	7249	39701
149	7293	39628
150	7339	39565
151	7385	39501
152	7436	39468
153	7480	39395
154	7525	39327
155	7571	39267
156	7627	39255
157	7674	39197
158	7720	39135
159	7765	39069
160	7810	39003
161	7860	38961
162	7901	38877
163	7951	38837
164	8005	38816
165	8060	38795
166	8111	38760
167	8159	38711
168	8205	38646
169	8252	38590
170	8299	38534
171	8342	38463
172	8387	38398
173	8432	38335
174	8481	38286
175	8526	38223
176	8571	38160
177	8618	38106
178	8663	38042
179	8711	37993
180	8759	37943
181	8808	37895
182	8861	37866
183	8910	37820
184	8958	37772
185	9005	37718
186	9051	37657
187	9098	37602
188	9146	37553
189	9193	37498
190	9238	37437
191	9283	37373
192	9329	37319
193	9373	37250
194	9416	37184
195	9465	37138
196	9511	37079
197	9553	37008
198	9598	36948
199	9645	36894
200	9697	36859
201	9747	36818
202	9793	36761
203	9844	36724
204	9888	36659
205	9931	36590
206	9973	36523
207	10014	36446
208	10058	36382
209	10102	36322
210	10149	36269
211	10195	36214
212	10242	36161
213	10289	36110
214	10334	36049
215	10378	35987
216	10425	35936
217	10465	35862
218	10511	35804
219	10555	35744
220	10603	35695
221	10650	35645
222	10706	35623
223	10759	35592
224	10809	35552
225	10860	35512
226	10904	35452
227	10954	35408
228	11000	35354
229	11043	35292
230	11090	35239
231	11137	35189
232	11189	35154
233	11240	35114
234	11292	35078
235	11344	35043
236	11392	34995
237	11435	34931
238	11485	34890
239	11548	34887
240	11603	34858
241	11654	34818
242	11700	34764
243	11763	34759
244	11814	34720
245	11858	34659
246	11901	34597
